time,target,y,error,steer
14.016,0.5000,0.4836,0.5000,0.0450
14.048,0.5000,0.4832,0.5000,0.0454
14.080,0.5000,0.4828,0.5000,0.0459
14.112,0.5000,0.4824,0.5000,0.0463
14.144,0.5000,0.4820,0.5000,0.0468
14.176,0.5000,0.4816,0.5000,0.0472
14.208,0.5000,0.4813,0.5000,0.0476
14.240,0.5000,0.4809,0.5000,0.0481
14.272,0.5000,0.4805,0.5000,0.0485
14.304,0.5000,0.4801,0.5000,0.0489
14.336,0.5000,0.4798,0.5000,0.0493
14.368,0.5000,0.4794,0.5000,0.0497
14.400,0.5000,0.4790,0.5000,0.0501
14.432,0.5000,0.4787,0.5000,0.0505
14.464,0.5000,0.4783,0.5000,0.0508
14.496,0.5000,0.4780,0.5000,0.0512
14.528,0.5000,0.4776,0.5000,0.0516
14.560,0.5000,0.4773,0.5000,0.0519
14.592,0.5000,0.4769,0.5000,0.0523
14.624,0.5000,0.4766,0.5000,0.0526
14.656,0.5000,0.4763,0.5000,0.0530
14.688,0.5000,0.4759,0.5000,0.0533
14.720,0.5000,0.4756,0.5000,0.0536
14.752,0.5000,0.4753,0.5000,0.0540
14.784,0.5000,0.4750,0.5000,0.0543
14.816,0.5000,0.4746,0.5000,0.0546
14.848,0.5000,0.4743,0.5000,0.0549
14.880,0.5000,0.4740,0.5000,0.0552
14.912,0.5000,0.4737,0.5000,0.0555
14.944,0.5000,0.4734,0.5000,0.0558
14.976,0.5000,0.4731,0.5000,0.0561
15.008,0.5000,0.4728,0.5000,0.0564
15.040,0.5000,0.4725,0.5000,0.0566
15.072,0.5000,0.4722,0.5000,0.0569
15.104,0.5000,0.4719,0.5000,0.0572
15.136,0.5000,0.4716,0.5000,0.0574
15.168,0.5000,0.4713,0.5000,0.0577
15.200,0.5000,0.4710,0.5000,0.0579
15.232,0.5000,0.4708,0.5000,0.0581
15.264,0.5000,0.4705,0.5000,0.0584
15.296,0.5000,0.4702,0.5000,0.0586
15.328,0.5000,0.4700,0.5000,0.0588
15.360,0.5000,0.4697,0.5000,0.0590
15.392,0.5000,0.4694,0.5000,0.0592
15.424,0.5000,0.4692,0.5000,0.0594
15.456,0.5000,0.4689,0.5000,0.0596
15.488,0.5000,0.4687,0.5000,0.0598
15.520,0.5000,0.4684,0.5000,0.0600
15.552,0.5000,0.4682,0.5000,0.0602
15.584,0.5000,0.4679,0.5000,0.0604
15.616,0.5000,0.4677,0.5000,0.0605
15.648,0.5000,0.4675,0.5000,0.0607
15.680,0.5000,0.4673,0.5000,0.0609
15.712,0.5000,0.4670,0.5000,0.0610
15.744,0.5000,0.4668,0.5000,0.0611
15.776,0.5000,0.4666,0.5000,0.0613
15.808,0.5000,0.4664,0.5000,0.0614
15.840,0.5000,0.4662,0.5000,0.0615
15.872,0.5000,0.4660,0.5000,0.0617
15.904,0.5000,0.4658,0.5000,0.0618
15.936,0.5000,0.4656,0.5000,0.0619
15.968,0.5000,0.4654,0.5000,0.0620
16.000,0.5000,0.4652,0.5000,0.0621
16.032,0.5000,0.4650,0.5000,0.0622
16.064,0.5000,0.4648,0.5000,0.0622
16.096,0.5000,0.4646,0.5000,0.0623
16.128,0.5000,0.4645,0.5000,0.0624
16.160,0.5000,0.4643,0.5000,0.0625
16.192,0.5000,0.4641,0.5000,0.0625
16.224,0.5000,0.4639,0.5000,0.0626
16.256,0.5000,0.4638,0.5000,0.0626
16.288,0.5000,0.4636,0.5000,0.0627
16.320,0.5000,0.4635,0.5000,0.0627
16.352,0.5000,0.4633,0.5000,0.0627
16.384,0.5000,0.4632,0.5000,0.0628
16.416,0.5000,0.4630,0.5000,0.0628
16.448,0.5000,0.4629,0.5000,0.0628
16.480,0.5000,0.4628,0.5000,0.0628
16.512,0.5000,0.4626,0.5000,0.0628
16.544,0.5000,0.4625,0.5000,0.0628
16.576,0.5000,0.4624,0.5000,0.0628
16.608,0.5000,0.4623,0.5000,0.0628
16.640,0.5000,0.4621,0.5000,0.0628
16.672,0.5000,0.4620,0.5000,0.0627
16.704,0.5000,0.4619,0.5000,0.0627
16.736,0.5000,0.4618,0.5000,0.0627
16.768,0.5000,0.4617,0.5000,0.0626
16.800,0.5000,0.4616,0.5000,0.0626
16.832,0.5000,0.4615,0.5000,0.0625
16.864,0.5000,0.4614,0.5000,0.0625
16.896,0.5000,0.4614,0.5000,0.0624
16.928,0.5000,0.4613,0.5000,0.0623
16.960,0.5000,0.4612,0.5000,0.0623
16.992,0.5000,0.4611,0.5000,0.0622
17.024,0.5000,0.4610,0.5000,0.0621
17.056,0.5000,0.4610,0.5000,0.0620
17.088,0.5000,0.4609,0.5000,0.0619
17.120,0.5000,0.4609,0.5000,0.0618
17.152,0.5000,0.4608,0.5000,0.0617
17.184,0.5000,0.4607,0.5000,0.0616
17.216,0.5000,0.4607,0.5000,0.0615
17.248,0.5000,0.4607,0.5000,0.0614
17.280,0.5000,0.4606,0.5000,0.0612
17.312,0.5000,0.4606,0.5000,0.0611
17.344,0.5000,0.4605,0.5000,0.0610
17.376,0.5000,0.4605,0.5000,0.0608
17.408,0.5000,0.4605,0.5000,0.0607
17.440,0.5000,0.4605,0.5000,0.0605
17.472,0.5000,0.4604,0.5000,0.0603
17.504,0.5000,0.4604,0.5000,0.0602
17.536,0.5000,0.4604,0.5000,0.0600
17.568,0.5000,0.4604,0.5000,0.0598
17.600,0.5000,0.4604,0.5000,0.0597
17.632,0.5000,0.4604,0.5000,0.0595
17.664,0.5000,0.4604,0.5000,0.0593
17.696,0.5000,0.4604,0.5000,0.0591
